County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
37 - San Diego,10/15/2013,In Closure,"$445,027,958.97 ",0,
38 - San Francisco,10/15/2013,In Review,"$919,314,578.38 ",0,Bay Area Counties
38 - San Francisco,10/15/2013,Pending Construction,"$483,525,005.98 ",0,Bay Area Counties
38 - San Francisco,10/15/2013,In Construction,"$1,040,738,267.62 ",0,Bay Area Counties
38 - San Francisco,10/15/2013,In Closure,"$294,516,218.02 ",0,Bay Area Counties
39 - San Joaquin,10/15/2013,In Review,"$5,270,479.80 ",0,
39 - San Joaquin,10/15/2013,Pending Construction,"$91,068,070.80 ",0,
39 - San Joaquin,10/15/2013,In Construction,"$25,262,225.38 ",0,
39 - San Joaquin,10/15/2013,In Closure,"$17,414,916.84 ",0,
40 - San Luis Obispo,10/15/2013,In Review,"$2,891,415.00 ",0,
40 - San Luis Obispo,10/15/2013,Pending Construction,"$1,539,721.80 ",0,
40 - San Luis Obispo,10/15/2013,In Construction,"$4,706,570.10 ",0,
40 - San Luis Obispo,10/15/2013,In Closure,"$9,522,808.00 ",0,
41 - San Mateo,10/15/2013,In Review,"$76,750,622.16 ",0,Bay Area Counties
41 - San Mateo,10/15/2013,Pending Construction,"$35,696,380.96 ",0,Bay Area Counties
41 - San Mateo,10/15/2013,In Construction,"$329,128,326.94 ",0,Bay Area Counties
41 - San Mateo,10/15/2013,In Closure,"$59,334,879.01 ",0,Bay Area Counties
42 - Santa Barbara,10/15/2013,In Review,"$10,741,200.00 ",0,
42 - Santa Barbara,10/15/2013,Pending Construction,"$149,282,187.80 ",0,
42 - Santa Barbara,10/15/2013,In Construction,"$228,096,917.43 ",0,
42 - Santa Barbara,10/15/2013,In Closure,"$95,425,283.79 ",0,
43 - Santa Clara,10/15/2013,In Review,"$764,350,842.09 ",0,Bay Area Counties
43 - Santa Clara,10/15/2013,Pending Construction,"$95,835,614.91 ",0,Bay Area Counties
43 - Santa Clara,10/15/2013,In Construction,"$853,609,933.76 ",0,Bay Area Counties
43 - Santa Clara,10/15/2013,In Closure,"$89,414,319.51 ",0,Bay Area Counties
44 - Santa Cruz,10/15/2013,In Review,"$10,510,974.00 ",0,
44 - Santa Cruz,10/15/2013,Pending Construction,"$495,319.00 ",0,
44 - Santa Cruz,10/15/2013,In Construction,"$3,549,812.99 ",0,
44 - Santa Cruz,10/15/2013,In Closure,"$10,195,895.50 ",0,
45 - Shasta,10/15/2013,In Review,"$24,145,486.00 ",0,
45 - Shasta,10/15/2013,Pending Construction,"$2,081,187.00 ",0,
45 - Shasta,10/15/2013,In Construction,"$5,229,507.81 ",0,
45 - Shasta,10/15/2013,In Closure,"$9,154,279.00 ",0,
46 - Sierra,10/15/2013,In Review,$0.00 ,0,
46 - Sierra,10/15/2013,Pending Construction,$0.00 ,0,
46 - Sierra,10/15/2013,In Construction,$0.00 ,0,
46 - Sierra,10/15/2013,In Closure,$0.00 ,0,
47 - Siskiyou,10/15/2013,In Review,"$10,000.00 ",0,
47 - Siskiyou,10/15/2013,Pending Construction,"$726,700.00 ",0,
47 - Siskiyou,10/15/2013,In Construction,"$1,090,562.07 ",0,
47 - Siskiyou,10/15/2013,In Closure,"$60,000.00 ",0,
48 - Solano,10/15/2013,In Review,"$3,420,069.00 ",0,Bay Area Counties
48 - Solano,10/15/2013,Pending Construction,"$10,111,015.00 ",0,Bay Area Counties
48 - Solano,10/15/2013,In Construction,"$42,080,105.13 ",0,Bay Area Counties
48 - Solano,10/15/2013,In Closure,"$31,418,524.00 ",0,Bay Area Counties
49 - Sonoma,10/15/2013,In Review,"$31,381,318.60 ",0,Bay Area Counties
49 - Sonoma,10/15/2013,Pending Construction,"$6,341,395.00 ",0,Bay Area Counties
49 - Sonoma,10/15/2013,In Construction,"$132,737,275.30 ",0,Bay Area Counties
49 - Sonoma,10/15/2013,In Closure,"$32,748,009.30 ",0,Bay Area Counties
50 - Stanislaus,10/15/2013,In Review,"$24,526,158.00 ",0,
50 - Stanislaus,10/15/2013,Pending Construction,"$5,179,927.00 ",0,
50 - Stanislaus,10/15/2013,In Construction,"$65,302,660.66 ",0,
50 - Stanislaus,10/15/2013,In Closure,"$27,340,081.48 ",0,
51 - Sutter,10/15/2013,In Review,"$12,654,500.00 ",0,
51 - Sutter,10/15/2013,Pending Construction,"$80,683.00 ",0,
51 - Sutter,10/15/2013,In Construction,"$31,850.00 ",0,
51 - Sutter,10/15/2013,In Closure,"$23,000.00 ",0,
52 - Tehama,10/15/2013,In Review,"$359,700.00 ",0,
52 - Tehama,10/15/2013,Pending Construction,"$414,500.00 ",0,
52 - Tehama,10/15/2013,In Construction,"$1,809,800.00 ",0,
52 - Tehama,10/15/2013,In Closure,$0.00 ,0,
53 - Trinity,10/15/2013,In Review,"$8,200.00 ",0,
53 - Trinity,10/15/2013,Pending Construction,"$13,200.00 ",0,
53 - Trinity,10/15/2013,In Construction,"$313,838.00 ",0,
53 - Trinity,10/15/2013,In Closure,$0.00 ,0,
54 - Tulare,10/15/2013,In Review,"$38,600,400.00 ",0,
54 - Tulare,10/15/2013,Pending Construction,"$2,100,766.29 ",0,
54 - Tulare,10/15/2013,In Construction,"$83,883,087.00 ",0,
54 - Tulare,10/15/2013,In Closure,"$6,858,142.98 ",0,
55 - Tuolumne,10/15/2013,In Review,"$8,000.00 ",0,
55 - Tuolumne,10/15/2013,Pending Construction,"$1,007,100.00 ",0,
55 - Tuolumne,10/15/2013,In Construction,"$634,000.00 ",0,
55 - Tuolumne,10/15/2013,In Closure,"$1,196,273.91 ",0,
56 - Ventura,10/15/2013,In Review,"$235,186,420.66 ",0,Greater Los Angeles Counties
56 - Ventura,10/15/2013,Pending Construction,"$29,824,356.33 ",0,Greater Los Angeles Counties
56 - Ventura,10/15/2013,In Construction,"$379,077,499.00 ",0,Greater Los Angeles Counties
56 - Ventura,10/15/2013,In Closure,"$30,228,225.00 ",0,Greater Los Angeles Counties
57 - Yolo,10/15/2013,In Review,"$683,540.00 ",0,Greater Sacramento Counties
57 - Yolo,10/15/2013,Pending Construction,"$588,100.00 ",0,Greater Sacramento Counties
57 - Yolo,10/15/2013,In Construction,"$1,483,044.00 ",0,Greater Sacramento Counties
57 - Yolo,10/15/2013,In Closure,"$59,405.00 ",0,Greater Sacramento Counties
58 - Yuba,10/15/2013,In Review,"$31,462,206.50 ",0,
58 - Yuba,10/15/2013,Pending Construction,"$32,194,189.50 ",0,
58 - Yuba,10/15/2013,In Construction,"$68,363,126.00 ",0,
58 - Yuba,10/15/2013,In Closure,"$446,592.00 ",0,
01 - Alameda,10/31/2013,In Review,"$45,409,835.00 ",50,Bay Area Counties
01 - Alameda,10/31/2013,Pending Construction,"$569,364,370.28 ",119,Bay Area Counties
01 - Alameda,10/31/2013,In Construction,"$1,263,710,158.63 ",182,Bay Area Counties
01 - Alameda,10/31/2013,In Closure,"$71,827,633.86 ",79,Bay Area Counties
02 - Alpine,10/31/2013,In Review,$0.00 ,0,
02 - Alpine,10/31/2013,Pending Construction,$0.00 ,0,
02 - Alpine,10/31/2013,In Construction,$0.00 ,0,
02 - Alpine,10/31/2013,In Closure,$0.00 ,0,
03 - Amador,10/31/2013,In Review,"$1,610,809.00 ",2,
03 - Amador,10/31/2013,Pending Construction,$0.00 ,0,
03 - Amador,10/31/2013,In Construction,"$1,838,095.00 ",9,
03 - Amador,10/31/2013,In Closure,$0.00 ,0,
04 - Butte,10/31/2013,In Review,"$6,216,107.00 ",10,
04 - Butte,10/31/2013,Pending Construction,"$2,182,000.00 ",8,
04 - Butte,10/31/2013,In Construction,"$90,624,945.00 ",13,
04 - Butte,10/31/2013,In Closure,"$922,211.00 ",7,
05 - Calaveras,10/31/2013,In Review,"$45,000.00 ",1,
05 - Calaveras,10/31/2013,Pending Construction,"$51,500.00 ",2,
05 - Calaveras,10/31/2013,In Construction,$0.00 ,0,
05 - Calaveras,10/31/2013,In Closure,"$168,991.00 ",1,
06 - Colusa,10/31/2013,In Review,"$15,000.00 ",1,
06 - Colusa,10/31/2013,Pending Construction,"$26,951.00 ",2,
06 - Colusa,10/31/2013,In Construction,$0.00 ,0,
06 - Colusa,10/31/2013,In Closure,$0.00 ,0,
07 - Contra Costa,10/31/2013,In Review,"$18,949,040.00 ",27,Bay Area Counties
07 - Contra Costa,10/31/2013,Pending Construction,"$18,542,516.00 ",42,Bay Area Counties
07 - Contra Costa,10/31/2013,In Construction,"$37,518,864.98 ",59,Bay Area Counties
07 - Contra Costa,10/31/2013,In Closure,"$4,910,047.00 ",18,Bay Area Counties
08 - Del Norte,10/31/2013,In Review,$0.00 ,0,
08 - Del Norte,10/31/2013,Pending Construction,$0.00 ,0,
08 - Del Norte,10/31/2013,In Construction,"$6,763,431.00 ",5,
08 - Del Norte,10/31/2013,In Closure,"$262,211.00 ",1,
09 - El Dorado,10/31/2013,In Review,"$11,759,315.00 ",6,Greater Sacramento Counties
09 - El Dorado,10/31/2013,Pending Construction,"$12,500.00 ",1,Greater Sacramento Counties
09 - El Dorado,10/31/2013,In Construction,"$12,210,865.00 ",6,Greater Sacramento Counties
09 - El Dorado,10/31/2013,In Closure,"$23,367,713.00 ",4,Greater Sacramento Counties
10 - Fresno,10/31/2013,In Review,"$38,504,132.71 ",39,
10 - Fresno,10/31/2013,Pending Construction,"$9,572,508.00 ",34,
10 - Fresno,10/31/2013,In Construction,"$237,304,837.93 ",78,
10 - Fresno,10/31/2013,In Closure,"$19,127,325.99 ",89,
11 - Glenn,10/31/2013,In Review,$0.00 ,0,
11 - Glenn,10/31/2013,Pending Construction,$0.00 ,0,
11 - Glenn,10/31/2013,In Construction,"$224,685.00 ",1,
11 - Glenn,10/31/2013,In Closure,"$10,000.00 ",1,
12 - Humboldt,10/31/2013,In Review,"$5,420,000.00 ",9,
12 - Humboldt,10/31/2013,Pending Construction,"$1,456,000.00 ",6,
12 - Humboldt,10/31/2013,In Construction,"$88,223,714.00 ",15,
12 - Humboldt,10/31/2013,In Closure,"$268,300.00 ",4,
13 - Imperial,10/31/2013,In Review,"$6,035,000.00 ",2,
13 - Imperial,10/31/2013,Pending Construction,"$81,500.00 ",3,
13 - Imperial,10/31/2013,In Construction,"$98,000.00 ",2,
13 - Imperial,10/31/2013,In Closure,"$508,711.00 ",2,
14 - Inyo,10/31/2013,In Review,$0.00 ,0,
14 - Inyo,10/31/2013,Pending Construction,"$39,903.00 ",2,
14 - Inyo,10/31/2013,In Construction,"$9,300.00 ",2,
14 - Inyo,10/31/2013,In Closure,"$42,165,810.54 ",4,
15 - Kern,10/31/2013,In Review,"$7,412,464.00 ",20,
15 - Kern,10/31/2013,Pending Construction,"$1,313,709.00 ",16,
15 - Kern,10/31/2013,In Construction,"$67,076,722.00 ",33,
15 - Kern,10/31/2013,In Closure,"$18,486,899.90 ",38,
16 - Kings,10/31/2013,In Review,"$440,000.00 ",6,
16 - Kings,10/31/2013,Pending Construction,"$28,270,000.00 ",7,
16 - Kings,10/31/2013,In Construction,"$318,722.00 ",6,
16 - Kings,10/31/2013,In Closure,"$715,484.13 ",12,
17 - Lake,10/31/2013,In Review,"$243,000.00 ",2,
17 - Lake,10/31/2013,Pending Construction,"$167,500.00 ",3,
17 - Lake,10/31/2013,In Construction,"$5,716,410.23 ",16,
17 - Lake,10/31/2013,In Closure,"$22,628.04 ",1,
18 - Lassen,10/31/2013,In Review,"$326,000.00 ",1,
18 - Lassen,10/31/2013,Pending Construction,"$145,120.00 ",1,
18 - Lassen,10/31/2013,In Construction,"$1,164,643.00 ",9,
18 - Lassen,10/31/2013,In Closure,$0.00 ,0,
19 - Los Angeles,10/31/2013,In Review,"$515,003,508.18 ",408,Greater Los Angeles Counties
19 - Los Angeles,10/31/2013,Pending Construction,"$206,388,093.48 ",500,Greater Los Angeles Counties
19 - Los Angeles,10/31/2013,In Construction,"$2,319,040,139.70 ",855,Greater Los Angeles Counties
19 - Los Angeles,10/31/2013,In Closure,"$561,845,225.66 ",678,Greater Los Angeles Counties
20 - Madera,10/31/2013,In Review,"$695,954.00 ",1,
20 - Madera,10/31/2013,Pending Construction,"$25,000.00 ",1,
20 - Madera,10/31/2013,In Construction,"$4,947,508.00 ",21,
20 - Madera,10/31/2013,In Closure,"$15,973,640.85 ",21,
21 - Marin,10/31/2013,In Review,"$178,947,915.00 ",18,Bay Area Counties
21 - Marin,10/31/2013,Pending Construction,"$44,770,375.00 ",11,Bay Area Counties
21 - Marin,10/31/2013,In Construction,"$25,346,899.00 ",20,Bay Area Counties
21 - Marin,10/31/2013,In Closure,"$4,671,837.00 ",11,Bay Area Counties
22 - Mariposa,10/31/2013,In Review,$0.00 ,0,
22 - Mariposa,10/31/2013,Pending Construction,$0.00 ,0,
22 - Mariposa,10/31/2013,In Construction,$0.00 ,0,
22 - Mariposa,10/31/2013,In Closure,$0.00 ,0,
23 - Mendocino,10/31/2013,In Review,"$3,596,175.00 ",8,
23 - Mendocino,10/31/2013,Pending Construction,"$16,013,000.00 ",5,
23 - Mendocino,10/31/2013,In Construction,"$2,246,074.00 ",13,
23 - Mendocino,10/31/2013,In Closure,"$37,709,600.00 ",6,
24 - Merced,10/31/2013,In Review,"$233,600.00 ",4,
24 - Merced,10/31/2013,Pending Construction,"$242,700.00 ",4,
24 - Merced,10/31/2013,In Construction,"$12,965,854.00 ",4,
24 - Merced,10/31/2013,In Closure,"$341,860.20 ",5,
25 - Modoc,10/31/2013,In Review,0,0,
25 - Modoc,10/31/2013,Pending Construction,"$12,500.00 ",1,
25 - Modoc,10/31/2013,In Construction,0,0,
25 - Modoc,10/31/2013,In Closure,0,0,
26 - Mono,10/31/2013,In Review,"$190,794.00 ",2,
26 - Mono,10/31/2013,Pending Construction,$0.00 ,0,
26 - Mono,10/31/2013,In Construction,"$13,000.00 ",4,
26 - Mono,10/31/2013,In Closure,"$533,972.00 ",2,
27 - Monterey,10/31/2013,In Review,"$1,941,290.00 ",9,
27 - Monterey,10/31/2013,Pending Construction,"$1,483,276.00 ",13,
27 - Monterey,10/31/2013,In Construction,"$36,485,171.00 ",20,
27 - Monterey,10/31/2013,In Closure,"$4,644,729.00 ",19,
28 - Napa,10/31/2013,In Review,"$1,035,000.00 ",5,Bay Area Counties
28 - Napa,10/31/2013,Pending Construction,"$669,298.00 ",6,Bay Area Counties
28 - Napa,10/31/2013,In Construction,"$34,384,230.00 ",13,Bay Area Counties
28 - Napa,10/31/2013,In Closure,"$50,549,387.76 ",22,Bay Area Counties
29 - Nevada,10/31/2013,In Review,"$15,462,056.00 ",6,
29 - Nevada,10/31/2013,Pending Construction,"$3,819,556.00 ",4,
29 - Nevada,10/31/2013,In Construction,"$30,359,994.00 ",21,
29 - Nevada,10/31/2013,In Closure,$0.00 ,0,
30 - Orange,10/31/2013,In Review,"$24,759,361.33 ",72,Greater Los Angeles Counties
30 - Orange,10/31/2013,Pending Construction,"$37,318,492.33 ",71,Greater Los Angeles Counties
30 - Orange,10/31/2013,In Construction,"$286,587,802.14 ",143,Greater Los Angeles Counties
30 - Orange,10/31/2013,In Closure,"$322,055,635.51 ",199,Greater Los Angeles Counties
31 - Placer,10/31/2013,In Review,"$8,997,190.00 ",9,Greater Sacramento Counties
31 - Placer,10/31/2013,Pending Construction,"$694,000.00 ",6,Greater Sacramento Counties
31 - Placer,10/31/2013,In Construction,"$56,976,629.80 ",18,Greater Sacramento Counties
31 - Placer,10/31/2013,In Closure,"$76,386,793.61 ",17,Greater Sacramento Counties
32 - Plumas,10/31/2013,In Review,"$45,441.00 ",2,
32 - Plumas,10/31/2013,Pending Construction,"$83,000.00 ",2,
32 - Plumas,10/31/2013,In Construction,"$85,900.00 ",2,
32 - Plumas,10/31/2013,In Closure,0,0,
33 - Riverside,10/31/2013,In Review,"$307,874,634.72 ",71,
33 - Riverside,10/31/2013,Pending Construction,"$136,139,194.00 ",67,
33 - Riverside,10/31/2013,In Construction,"$142,562,559.63 ",123,
33 - Riverside,10/31/2013,In Closure,"$61,303,344.27 ",110,
34 - Sacramento,10/31/2013,In Review,"$47,671,930.00 ",37,Greater Sacramento Counties
34 - Sacramento,10/31/2013,Pending Construction,"$93,304,886.00 ",37,Greater Sacramento Counties
34 - Sacramento,10/31/2013,In Construction,"$266,714,209.86 ",127,Greater Sacramento Counties
34 - Sacramento,10/31/2013,In Closure,"$106,858,864.62 ",51,Greater Sacramento Counties
35 - San Benito,10/31/2013,In Review,$0.00 ,0,
35 - San Benito,10/31/2013,Pending Construction,$0.00 ,0,
35 - San Benito,10/31/2013,In Construction,"$14,215,455.00 ",4,
35 - San Benito,10/31/2013,In Closure,"$252,000.00 ",2,
36 - San Bernardino,10/31/2013,In Review,"$683,636,244.53 ",42,
36 - San Bernardino,10/31/2013,Pending Construction,"$15,640,664.78 ",48,
36 - San Bernardino,10/31/2013,In Construction,"$201,245,550.25 ",119,
36 - San Bernardino,10/31/2013,In Closure,"$177,268,881.29 ",77,
37 - San Diego,10/31/2013,In Review,"$509,544,535.70 ",119,
37 - San Diego,10/31/2013,Pending Construction,"$113,287,340.66 ",111,
37 - San Diego,10/31/2013,In Construction,"$620,160,162.09 ",207,
37 - San Diego,10/31/2013,In Closure,"$446,284,663.22 ",228,
38 - San Francisco,10/31/2013,In Review,"$919,625,973.31 ",62,Bay Area Counties
38 - San Francisco,10/31/2013,Pending Construction,"$482,606,378.11 ",61,Bay Area Counties
38 - San Francisco,10/31/2013,In Construction,"$1,039,723,884.22 ",132,Bay Area Counties
38 - San Francisco,10/31/2013,In Closure,"$290,313,873.35 ",98,Bay Area Counties
39 - San Joaquin,10/31/2013,In Review,"$4,934,549.80 ",23,
39 - San Joaquin,10/31/2013,Pending Construction,"$90,691,420.00 ",31,
39 - San Joaquin,10/31/2013,In Construction,"$24,619,644.58 ",45,
39 - San Joaquin,10/31/2013,In Closure,"$18,770,078.44 ",17,
40 - San Luis Obispo,10/31/2013,In Review,"$2,903,415.00 ",12,
40 - San Luis Obispo,10/31/2013,Pending Construction,"$1,539,721.80 ",13,
40 - San Luis Obispo,10/31/2013,In Construction,"$4,703,570.10 ",14,
40 - San Luis Obispo,10/31/2013,In Closure,"$9,639,964.02 ",31,
41 - San Mateo,10/31/2013,In Review,"$74,115,764.16 ",27,Bay Area Counties
41 - San Mateo,10/31/2013,Pending Construction,"$40,621,929.46 ",29,Bay Area Counties
41 - San Mateo,10/31/2013,In Construction,"$348,313,670.95 ",65,Bay Area Counties
41 - San Mateo,10/31/2013,In Closure,"$66,382,812.79 ",44,Bay Area Counties
42 - Santa Barbara,10/31/2013,In Review,"$10,363,000.00 ",14,
42 - Santa Barbara,10/31/2013,Pending Construction,"$81,426,413.40 ",23,
42 - Santa Barbara,10/31/2013,In Construction,"$296,429,291.83 ",35,
42 - Santa Barbara,10/31/2013,In Closure,"$95,427,783.79 ",23,
43 - Santa Clara,10/31/2013,In Review,"$713,665,546.86 ",73,Bay Area Counties
43 - Santa Clara,10/31/2013,Pending Construction,"$64,901,105.00 ",62,Bay Area Counties
43 - Santa Clara,10/31/2013,In Construction,"$928,177,745.90 ",160,Bay Area Counties
43 - Santa Clara,10/31/2013,In Closure,"$95,076,342.95 ",130,Bay Area Counties
44 - Santa Cruz,10/31/2013,In Review,"$11,340,229.00 ",8,
44 - Santa Cruz,10/31/2013,Pending Construction,"$145,671.00 ",7,
44 - Santa Cruz,10/31/2013,In Construction,"$3,814,331.99 ",20,
44 - Santa Cruz,10/31/2013,In Closure,"$9,878,627.50 ",15,
45 - Shasta,10/31/2013,In Review,"$24,118,645.00 ",18,
45 - Shasta,10/31/2013,Pending Construction,"$2,108,028.00 ",15,
45 - Shasta,10/31/2013,In Construction,"$5,229,507.81 ",18,
45 - Shasta,10/31/2013,In Closure,"$9,013,286.00 ",4,
46 - Sierra,10/31/2013,In Review,$0.00 ,0,
46 - Sierra,10/31/2013,Pending Construction,$0.00 ,0,
46 - Sierra,10/31/2013,In Construction,$0.00 ,0,
46 - Sierra,10/31/2013,In Closure,$0.00 ,0,
47 - Siskiyou,10/31/2013,In Review,"$10,000.00 ",1,
47 - Siskiyou,10/31/2013,Pending Construction,"$726,700.00 ",3,
47 - Siskiyou,10/31/2013,In Construction,"$1,090,562.07 ",7,
47 - Siskiyou,10/31/2013,In Closure,"$60,000.00 ",2,
48 - Solano,10/31/2013,In Review,"$3,834,399.00 ",13,Bay Area Counties
48 - Solano,10/31/2013,Pending Construction,"$10,073,105.00 ",12,Bay Area Counties
48 - Solano,10/31/2013,In Construction,"$42,060,213.13 ",30,Bay Area Counties
48 - Solano,10/31/2013,In Closure,"$31,650,416.00 ",19,Bay Area Counties
49 - Sonoma,10/31/2013,In Review,"$30,909,318.60 ",13,Bay Area Counties
49 - Sonoma,10/31/2013,Pending Construction,"$6,849,255.00 ",23,Bay Area Counties
49 - Sonoma,10/31/2013,In Construction,"$131,977,564.30 ",44,Bay Area Counties
49 - Sonoma,10/31/2013,In Closure,"$33,643,426.30 ",19,Bay Area Counties
50 - Stanislaus,10/31/2013,In Review,"$25,318,158.00 ",17,
50 - Stanislaus,10/31/2013,Pending Construction,"$5,173,927.00 ",19,
50 - Stanislaus,10/31/2013,In Construction,"$65,268,660.66 ",36,
50 - Stanislaus,10/31/2013,In Closure,"$27,352,949.97 ",41,
51 - Sutter,10/31/2013,In Review,"$12,654,500.00 ",3,
51 - Sutter,10/31/2013,Pending Construction,"$80,683.00 ",3,
51 - Sutter,10/31/2013,In Construction,"$26,850.00 ",2,
51 - Sutter,10/31/2013,In Closure,"$23,000.00 ",1,
52 - Tehama,10/31/2013,In Review,"$359,700.00 ",2,
52 - Tehama,10/31/2013,Pending Construction,"$414,500.00 ",6,
52 - Tehama,10/31/2013,In Construction,"$1,809,800.00 ",4,
52 - Tehama,10/31/2013,In Closure,$0.00 ,0,
53 - Trinity,10/31/2013,In Review,"$8,200.00 ",2,
53 - Trinity,10/31/2013,Pending Construction,"$13,200.00 ",2,
53 - Trinity,10/31/2013,In Construction,"$409,272.00 ",1,
53 - Trinity,10/31/2013,In Closure,$0.00 ,0,
54 - Tulare,10/31/2013,In Review,"$34,707,400.00 ",16,
54 - Tulare,10/31/2013,Pending Construction,"$2,600,766.29 ",7,
54 - Tulare,10/31/2013,In Construction,"$83,883,087.00 ",11,
54 - Tulare,10/31/2013,In Closure,"$6,151,336.26 ",25,
55 - Tuolumne,10/31/2013,In Review,"$8,000.00 ",1,
55 - Tuolumne,10/31/2013,Pending Construction,"$1,007,100.00 ",6,
55 - Tuolumne,10/31/2013,In Construction,"$634,000.00 ",4,
55 - Tuolumne,10/31/2013,In Closure,"$1,176,273.91 ",12,
56 - Ventura,10/31/2013,In Review,"$235,049,632.66 ",42,Greater Los Angeles Counties
56 - Ventura,10/31/2013,Pending Construction,"$29,541,356.33 ",34,Greater Los Angeles Counties
56 - Ventura,10/31/2013,In Construction,"$374,855,499.00 ",67,Greater Los Angeles Counties
56 - Ventura,10/31/2013,In Closure,"$34,663,225.00 ",55,Greater Los Angeles Counties
57 - Yolo,10/31/2013,In Review,"$745,911.00 ",6,Greater Sacramento Counties
57 - Yolo,10/31/2013,Pending Construction,"$584,000.00 ",3,Greater Sacramento Counties
57 - Yolo,10/31/2013,In Construction,"$1,487,144.00 ",8,Greater Sacramento Counties
57 - Yolo,10/31/2013,In Closure,"$59,405.00 ",2,Greater Sacramento Counties
58 - Yuba,10/31/2013,In Review,"$31,462,206.50 ",2,
